RowNumber;Surname;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited
91;Heap;647;Spain;Female;44;5;0;3;1;1;174205,22;Yes
92;Ritchie;808;France;Male;45;7;118626,55;2;1;0;147132,46;No
93;Cole;524;France;Female;0;10;0;2;1;0;109614,57;No
94;Capon;769;France;Male;29;8;0;2;1;1;172290,61;No
95;Capon;730;Spain;Male;42;4;0;2;0;1;85982,47;No
96;Fiorentini;515;Spain;Male;35;10;176273,95;1;0;1;121277,78;No
97;Graham;773;Spain;Male;41;9;102827,44;1;0;1;64595,25;No
98;Yuille;814;Germany;Male;29;8;97086,4;2;1;1;197276,13;No
99;Allard;710;Spain;Male;22;8;0;2;0;0;99645,04;No
100;Fanucci;413;France;Male;34;9;0;2;0;0;6534,18;No
101;Fu;665;France;Female;40;6;0;1;1;1;161848,03;No
102;Hung;623;France;Female;44;6;0;2;0;0;167162,43;No
103;Hung;738;France;Male;31;9;82674,15;1;1;0;41970,72;No
104;Bradley;528;Spain;Male;36;7;0;2;1;0;60536,56;No
105;Dunbabin;670;Spain;Female;65;1;0;1;1;1;177655,68;Yes
106;Mauldon;622;Spain;Female;46;4;107073,27;2;1;1;30984,59;Yes
107;Stiger;582;Germany;Male;32;1;88938,62;1;1;1;10054,53;No
108;Parsons;785;Germany;Female;36;2;99806,85;1;0;1;36976,52;No
109;Walkom;;Spain;Male;33;5;150092,8;1;0;0;71862,79;No
110;T'ang;479;Germany;Male;35;9;92833,89;1;1;0;99449,86;Yes
111;Eremenko;685;Germany;Male;30;3;90536,81;1;0;1;63082,88;No
112;Rowntree;538;Germany;Male;39;7;108055,1;2;1;0;27231,26;No
113;Thorpe;562;France;Male;42;2;100238,35;1;0;0;86797,41;No
114;Chiemela;675;Spain;Male;36;9;106190,55;1;0;1;22994,32;No
115;Fanucci;721;Germany;Male;28;9;154475,54;2;0;1;101300,94;Yes
116;Ko;628;Germany;Female;30;9;132351,29;2;1;1;74169,13;No
117;Welch;668;Germany;Female;37;6;167864,4;1;1;0;115638,29;No
118;Duncan;506;France;Female;41;1;0;2;1;0;31766,3;No
119;Chidozie;524;Germany;;31;8;107818,63;1;1;0;199725,39;Yes
120;Wu;699;Germany;Male;34;4;185173,81;2;1;0;120834,48;No
121;Culbreth;828;France;Male;34;8;129433,34;2;0;0;38131,77;No
122;Kennedy;674;Spain;Male;39;6;120193,42;1;0;0;100130,95;No
123;Cameron;656;France;Female;39;6;0;2;1;0;141069,88;No
124;Calabresi;684;Germany;Female;48;10;126384,42;1;1;1;198129,36;No
125;Zetticci;625;France;Female;28;3;0;1;0;0;183646,41;No
126;Fuller;;France;Male;42;9;152603,45;1;1;0;110265,24;Yes
127;MacDonald;549;France;Female;52;1;0;1;0;1;8636,05;Yes
128;Piccio;625;Germany;Male;56;0;148507,24;1;1;0;46824,08;Yes
129;Kennedy;828;France;Female;41;7;0;2;1;0;171378,77;No
130;Fernie;770;France;Male;24;9;101827,07;1;1;0;167256,35;No
131;He;758;France;Female;34;3;0;2;1;1;124226,16;No
132;Kaodilinakachukwu;795;Germany;Female;33;9;130862,43;1;1;1;114935,21;No
133;Cocci;687;France;Male;38;9;122570,87;1;1;1;35608,88;No
134;Alekseeva;686;France;Male;25;1;0;2;0;1;16459,37;No
135;Chinweike;789;Germany;Male;39;7;124828,46;2;1;1;124411,08;No
136;Arthur;589;Germany;Female;50;5;144895,05;2;1;1;34941,23;No
137;Li;461;Germany;Female;34;5;63663,93;1;0;1;167784,28;No
138;Ma;637;France;Male;0;2;133463,1;1;0;1;93165,34;No
139;Chia;584;Spain;Female;48;2;213146,2;1;1;0;75161,25;Yes
140;Vasin;579;Spain;Female;35;1;129490,36;2;0;1;8590,83;Yes
141;Groves;756;Germany;Male;44;10;137452,09;1;1;0;189543,9;No
142;Tien;663;France;Male;34;7;0;2;1;1;180427,24;No
143;Forwood;682;France;Female;43;5;125851,93;1;1;1;193318,33;No
144;Greeves;793;Spain;Male;52;2;0;1;1;0;159123,82;Yes
145;Taylor;691;France;Female;31;5;40915,55;1;1;0;126213,84;Yes
146;Madukwe;485;Spain;Female;21;5;113157,22;1;1;1;54141,5;No
147;Bennelong;635;Spain;Female;29;8;138296,94;2;1;0;141075,51;No
148;Olisanugo;650;France;Male;37;5;106967,18;1;0;0;24495,03;No
149;Chukwufumnanya;735;France;Male;44;9;120681,63;1;1;0;74836,34;No
150;Harris;416;France;Male;32;0;0;2;0;1;878,87;No
151;Morgan;754;Spain;Female;32;7;0;2;1;0;89520,75;No
152;Alexeeva;535;France;Female;48;9;0;1;1;0;149892,79;Yes
153;Metcalfe;716;Spain;Male;42;8;0;2;1;0;180800,42;No
154;Humphries;539;France;Male;37;2;127609,59;1;1;0;98646,22;No
155;Milne;614;France;Female;43;6;0;2;1;1;109041,53;No
156;Chou;706;Spain;Male;57;7;0;1;1;0;17941,16;Yes
157;Li;758;France;Female;33;7;0;2;0;0;82996,47;No
158;Clayton;586;Spain;Female;28;2;0;2;1;1;92067,35;No
159;Maclean;646;France;Female;73;6;97259,25;1;0;1;104719,66;No
160;Chigolum;631;Germany;Female;33;4;123246,7;1;0;0;112687,57;No
161;Wilkinson;717;Spain;Female;22;6;101060,25;1;0;1;84699,56;No
162;Wei;684;France;Male;30;2;0;2;1;0;83473,82;No
163;Treacy;800;France;Female;49;7;108007,36;1;0;0;47125,11;No
164;Hu;721;Spain;Female;36;2;0;2;1;1;106977,8;No
165;Taverner;683;Spain;Male;29;0;133702,89;1;1;0;55582,54;Yes
166;Sherman;660;Germany;Male;31;9;125189,75;2;1;1;139874,43;No
167;Taubman;704;Germany;Female;24;7;113034,22;1;1;0;162503,48;Yes
168;Robinson;615;Spain;Female;41;9;109013,23;1;1;0;196499,96;No
169;Pinto;667;Spain;Female;39;2;0;2;1;0;40721,24;Yes
170;Wood;682;Germany;Male;24;9;57929,81;2;0;0;53134,3;No
171;Hawkins;484;France;Female;29;4;130114,39;1;1;0;164017,89;No
172;Sun;628;Germany;Male;27;5;95826,49;2;1;0;155996,96;No
173;Yost;480;Germany;Male;44;10;129608,57;1;1;0;5472,7;Yes
174;Ting;578;France;;30;4;169462,09;1;1;0;112187,11;No
175;Rowe;512;France;Male;40;5;0;2;1;1;146457,83;No
176;Fu;484;Spain;Female;35;7;133868,21;1;1;1;27286,1;No
177;Ho;510;France;Female;30;0;0;2;1;1;130553,47;No
178;Okechukwu;606;Germany;Male;36;5;190479,48;2;0;0;179351,89;No
179;Campbell;597;Spain;Female;40;8;101993,12;1;0;1;94774,12;No
180;Ashbolt;754;Germany;Female;55;3;161608,81;1;1;0;8080,85;Yes
181;Rozier;850;Spain;Female;45;2;122311,21;1;1;1;19482,5;No
182;Hsia;510;France;Male;65;2;0;2;1;1;48071,61;No
183;Ogbonnaya;778;Germany;Female;45;1;162150,42;2;1;0;174531,27;No
184;T'ang;636;France;Male;42;2;0;2;1;1;55470,78;No
185;Cocci;804;France;Female;50;4;0;1;1;1;8546,87;Yes
186;Chang;514;France;Male;32;8;0;2;1;0;95857,18;No
187;T'ao;730;France;Female;39;1;99010,67;1;1;0;194945,8;No
188;Ford;525;Spain;Female;37;0;0;1;0;1;131521,72;No
189;Marshall;616;Spain;Male;30;5;0;2;0;1;196108,51;No
190;Tsai;687;Germany;Female;34;7;111388,18;2;1;0;148564,76;No
191;Onwumelu;715;France;Female;41;8;56214,85;2;0;0;92982,61;Yes
192;Graham;512;France;Female;36;3;84327,77;2;1;0;17675,36;No
193;Golovanov;479;France;Male;40;1;0;2;0;0;114996,43;No
194;Potts;601;France;Male;32;8;93012,89;1;1;0;86957,42;No
195;Crawford;580;Spain;Male;29;9;61710,44;2;1;0;128077,8;No
196;Aleshire;807;France;Male;0;3;174790,15;1;1;1;600,36;No
197;Moran;616;Spain;Female;0;6;0;2;1;1;43001,46;No
198;Samsonova;721;Germany;Male;37;3;107720,64;1;1;1;158591,12;No
199;Jenkins;501;France;Male;57;10;0;2;1;1;47847,19;No
200;Volkov;521;France;Male;35;6;96423,84;1;1;0;10488,44;No
201;Chiemezie;850;Spain;Male;30;2;141040,01;1;1;1;5978,2;No
202;Jude;759;France;Male;42;4;105420,18;1;0;1;121409,06;No
203;He;516;Spain;Male;50;5;0;1;0;1;146145,93;Yes
204;Onuora;711;France;Female;38;2;129022,06;2;1;1;14374,86;Yes
205;Ginikanwa;512;Spain;Male;33;3;176666,62;1;1;0;94670,77;No
206;Ku;550;France;Male;37;3;0;1;1;1;179670,31;No
207;McDonald;608;Spain;Female;41;3;89763,84;1;0;0;199304,74;Yes
208;Collins;618;France;Male;34;5;134954,53;1;1;1;151954,39;No
209;Hackett;643;France;Male;45;5;0;1;1;0;142513,5;Yes
210;Dike;671;France;Male;45;2;106376,85;1;0;1;158264,62;No
211;Trevisano;689;Germany;Male;33;2;161814,64;2;1;0;169381,9;No
212;Tan;;France;Male;31;8;0;2;1;1;169915,02;No
213;Glassman;620;France;Female;41;9;0;2;0;0;88852,47;No
214;Miller;676;France;Female;34;1;63095,01;1;1;1;40645,81;No
215;Kornilova;572;Germany;Male;26;4;118287,01;2;0;0;60427,3;No
216;Watson;668;Germany;Male;47;7;106854,21;1;0;1;157959,02;Yes
217;Marchesi;695;France;Male;46;7;49512,55;1;1;0;133007,34;No
218;Millar;730;Spain;Female;33;9;0;2;0;0;176576,62;No
219;Shih;807;France;Male;43;1;105799,32;2;1;0;34888,04;Yes
220;Fuller;592;France;Male;54;8;0;1;1;1;28737,71;Yes
221;Hay;726;France;Female;31;9;114722,05;2;1;1;98178,57;No
222;Yang;514;Spain;Male;30;7;0;1;0;1;125010,24;No
223;McIntyre;567;France;Male;42;2;0;2;1;1;167984,61;No
224;Stevenson;850;France;;33;10;0;1;1;0;4861,72;Yes
225;Poole;671;Germany;Male;45;6;99564,22;1;1;1;108872,45;Yes
226;Bagley;670;France;Male;37;4;170557,91;2;1;0;198252,88;No
227;Ch'ien;694;France;Female;30;9;0;2;1;1;26960,31;No
228;Cattaneo;547;Germany;Female;39;6;74596,15;3;1;1;85746,52;Yes
229;O'Sullivan;751;Germany;Male;50;2;96888,39;1;1;0;77206,25;Yes
230;Lucas;594;Germany;Female;29;3;130830,22;1;1;0;61048,53;No
231;Ringrose;673;France;Male;72;1;0;2;0;1;111981,19;No
232;Freeman;610;France;Male;40;0;0;2;1;0;62232,6;No
233;Sergeyev;512;France;Female;37;1;0;2;0;1;156105,03;No
234;Fiore;767;Germany;Male;0;3;119714,25;2;0;1;150135,38;No
235;Smith;585;France;Female;67;5;113978,97;2;0;1;93146,11;No
236;Dumetochukwu;763;Germany;Male;42;6;100160,75;1;1;0;33462,94;Yes
237;Pacheco;712;France;Female;29;2;0;1;1;1;144375;No
238;Synnot;539;Germany;Female;43;3;116220,5;3;1;0;55803,96;Yes
239;Johnston;668;France;Female;46;2;0;3;1;0;89048,46;Yes
240;Stevens;703;France;Male;28;2;81173,83;2;0;1;162812,16;No
241;Grant;662;Spain;Male;38;4;0;2;1;0;136259,65;No
242;Tsao;725;Germany;Female;39;5;116803,8;1;1;0;124052,97;No
243;Barnes;703;France;Male;37;8;105961,68;2;0;1;74158,8;No
244;McIntosh;659;Germany;Male;67;6;117411,6;1;1;1;45071,09;Yes
245;Madison;523;Spain;Male;34;7;0;2;1;0;62030,06;No
246;Ifesinachi;635;France;Female;40;10;123497,58;1;1;0;131953,23;Yes
247;Glazkov;772;Germany;Male;26;7;152400,51;2;1;0;79414;No
248;Dimauro;545;France;Female;26;1;0;2;1;1;199638,56;No
249;Wieck;634;Germany;Male;24;8;103097,85;1;1;1;157577,29;No
250;Liao;739;Germany;Male;54;8;126418,14;1;1;0;134420,75;Yes
251;Hughes;771;Germany;Female;36;5;77846,9;1;0;0;99805,99;No
252;Morrison;587;Spain;Female;34;1;0;2;1;1;97932,68;No
253;Matveyeva;681;France;Female;79;0;0;2;0;1;170968,99;No
254;Ku;544;Germany;Male;37;2;79731,91;1;1;1;57558,95;No
255;Cheatham;696;Spain;Male;28;8;0;1;0;0;176713,47;No
256;Yao;766;Spain;Male;41;0;0;2;0;1;34283,23;No
257;Kirkland;727;France;Male;34;10;0;2;1;1;198637,34;No
258;Rose;671;Germany;Female;34;6;37266,67;2;0;0;156917,12;No
259;Jess;693;France;Female;30;6;127992,25;1;1;1;50457,2;No
260;Welch;850;Germany;Male;38;3;54901,01;1;1;1;140075,55;No
261;Ifeajuna;732;Germany;Male;42;9;108748,08;2;1;1;65323,11;No
262;Morton;726;Spain;Female;48;6;99906,19;1;1;0;64323,24;No
263;Rossi;557;France;Female;32;6;184686,41;2;1;0;14956,44;No
264;Reppert;682;France;Female;26;0;110654,02;1;0;1;111879,21;No
265;Kang;738;Spain;Male;31;9;79019,8;1;1;1;18606,23;No
266;Ch'iu;531;Spain;Female;36;9;99240,51;1;1;0;123137,01;No
267;Wallis;498;France;Male;34;2;0;2;1;1;148528,24;No
268;Clark;651;France;Male;36;7;0;2;1;0;13898,31;No
269;Fielding;549;Spain;Female;39;7;0;1;0;0;81259,25;Yes
270;Zetticci;791;Germany;Female;35;7;52436,2;1;1;0;161051,75;No
271;Dulhunty;650;Spain;Male;41;9;0;2;0;1;191599,67;No
272;Bevington;733;Germany;Male;34;3;100337,96;3;1;0;48559,19;Yes
273;Boyle;811;Germany;Female;34;1;149297,19;2;1;1;186339,74;No
274;Newton;707;France;Male;30;8;0;2;1;0;33159,37;No
275;Bowman;712;Germany;Male;28;4;145605,44;1;0;1;93883,53;No
276;Dubinina;706;Spain;Female;37;7;0;2;1;1;110899,3;No
277;Toscani;756;France;Male;62;3;0;1;1;1;11199,04;Yes
278;Chiazagomekpere;777;France;Female;53;10;0;2;1;0;189992,97;No
279;Allen;646;France;Male;35;6;84026,86;1;0;1;164255,69;No
280;K'ung;714;France;Male;46;1;0;1;1;0;152167,79;Yes
281;Wilsmore;782;France;Male;39;8;0;2;1;1;33949,67;No
282;Hargreaves;775;Spain;Male;29;10;0;2;1;1;68143,93;No
283;Huang;479;Germany;Male;35;4;138718,92;1;1;1;47251,79;Yes
284;Ch'ien;807;France;Male;42;7;118274,71;1;1;1;25885,72;No
285;Wallwork;799;France;Female;22;8;174185,98;2;0;1;192633,85;No
286;Chu;;France;Male;40;7;113208,86;2;1;0;34577,36;No
287;Kang;602;Spain;Male;29;5;103907,28;1;1;0;161229,84;No
288;Davidson;475;France;Female;32;8;119023,28;1;1;0;100816,29;No
289;O'Donnell;744;Spain;Female;26;5;166297,89;1;1;1;181694,44;No
290;Nnachetam;588;Spain;Male;34;10;0;2;1;0;79078,91;No
291;Chidiebele;703;Germany;Male;42;9;63227;1;0;1;137316,32;No
292;Ahmed;747;Spain;Female;41;5;94521,17;2;1;0;194926,86;No
293;Booth;583;France;Male;27;7;0;2;1;0;51285,49;No
294;Chuang;750;Spain;Female;34;9;112822,26;1;0;0;150401,53;Yes
295;Shao;681;France;Male;38;3;0;2;1;1;112491,96;No
296;Tsao;773;France;Male;25;2;135903,33;1;1;0;73656,38;No
297;Tien;714;France;Female;31;4;125169,26;1;1;1;106636,89;No
298;Chang;687;Spain;Female;44;7;0;3;1;0;155853,52;Yes
299;Johnson;511;France;Male;58;0;149117,31;1;1;1;162599,51;No
300;French;627;France;Male;33;5;0;2;1;1;103737,82;No
301;Efremov;694;France;Female;31;10;0;2;1;0;160990,27;No
302;Hartley;616;Spain;Female;36;6;132311,71;1;0;0;15462,84;No
303;Calabrese;687;France;Male;35;8;0;2;1;0;10334,05;No
304;Chiu;712;France;Female;33;6;0;2;1;1;190686,16;No
305;Brennan;553;France;Male;33;4;118082,89;1;0;0;94440,45;No
306;Onwuatuegwu;667;France;Male;31;1;119266,69;1;1;1;28257,63;No
307;Hewitt;731;France;Male;43;2;0;1;1;1;170034,95;Yes
308;Shih;629;Germany;Male;35;7;156847,29;2;1;0;31824,29;No
309;Balashov;614;France;Male;50;4;137104,47;1;1;0;127166,49;Yes
310;Doyle;438;Germany;Male;31;8;78398,69;1;1;0;44937,01;No
311;Pokrovskii;652;France;Female;80;4;0;2;1;1;188603,07;No
312;Collins;729;Germany;Male;30;6;63669,42;1;1;0;145111,37;No
313;Russo;642;France;Male;38;3;0;2;0;0;171463,83;No
314;Skinner;806;Germany;Female;59;0;135296,33;1;1;0;182822,5;No
315;Robertson;744;Spain;Male;36;2;153804,44;1;1;1;87213,33;No
316;Atkinson;474;Spain;Male;37;3;0;2;0;0;57175,32;No
317;Doyle;559;France;Male;49;2;147069,78;1;1;0;120540,83;Yes
318;Ritchie;706;Spain;Male;42;9;0;2;1;1;28714,34;No
319;McEncroe;628;Spain;Female;22;3;0;1;1;0;85426,28;No
320;Pearson;429;France;Male;24;4;95741,75;1;1;0;46170,75;No
321;Gordon;525;Spain;Female;57;2;145965,33;1;1;1;64448,36;No
322;Ts'ai;680;France;Female;30;8;141441,75;1;1;1;16278,97;No
323;Lung;749;France;Male;40;1;139290,41;1;1;0;182855,42;Yes
324;Yuan;763;France;Female;31;4;0;2;0;0;50404,72;No
325;Pardey;734;France;Male;30;3;0;2;1;0;107640,25;No
326;Tai;716;France;Male;35;4;144428,87;1;1;0;134132,65;No
327;Scott;594;France;Male;35;2;0;2;1;0;103480,69;No
328;Hunter;644;France;Female;0;9;95441,27;1;1;0;108761,05;Yes
329;Mazzanti;671;Germany;Male;35;1;144848,74;1;1;1;179012,3;No
330;L?;664;Germany;Male;26;7;116244,14;2;1;1;95145,14;No
331;Beach;656;France;Male;50;7;0;2;0;1;72143,44;No
332;Hsieh;667;Spain;Female;40;1;146502,07;1;1;0;19162,89;No
333;Faulkner;663;Germany;Male;44;2;117028,6;2;0;1;144680,18;No
334;Knowles;584;Germany;Female;30;8;112013,81;1;1;0;177772,03;Yes
335;Day;626;Spain;Female;37;6;108269,37;1;1;0;5597,94;No
336;Hsueh;485;France;Male;29;7;182123,79;1;1;0;116828,51;Yes
337;Tsao;659;Germany;Female;32;3;150923,74;2;0;1;174652,51;No
338;Kennedy;649;France;Male;33;2;0;2;1;0;2010,98;No
339;Nwabugwu;805;Spain;Female;39;5;165272,13;1;1;0;14109,85;Yes
340;Young;716;Germany;Female;39;10;115301,31;1;1;0;43527,4;Yes
341;Kerr;642;Germany;Female;40;6;129502,49;2;0;1;86099,23;Yes
342;Tien;659;France;Male;31;4;118342,26;1;0;0;161574,19;No
343;Marrero;545;Spain;Female;47;5;0;2;1;1;38970,14;No
344;White;543;France;Male;22;8;0;2;0;0;127587,22;No
345;Pisano;718;France;Female;25;7;0;2;1;0;30380,12;No
346;Brown;840;France;Female;43;7;0;2;1;0;90908,95;No
347;Freeman;630;Germany;Female;34;9;106937,05;2;1;0;138275,01;No
348;Russell;643;Germany;Male;59;3;170331,37;1;1;1;32171,79;No
349;Seleznyov;654;Germany;Female;32;1;114510,85;1;1;1;126143,23;No
350;Yusupova;582;France;Male;39;5;0;2;1;1;129892,93;No
351;Foley;659;Spain;Male;32;3;107594,11;2;1;1;102416,84;No
352;Shih;762;Spain;Male;39;2;81273,13;1;1;1;18719,67;No
353;Ikedinachukwu;568;Spain;Female;32;7;169399,6;1;1;0;61936,22;No
354;Power;670;Spain;Male;25;6;0;2;1;1;78358,94;No
355;Amos;613;France;Female;45;1;187841,99;2;1;1;147224,27;No
356;Reed;539;France;Male;30;0;0;2;1;0;160979,66;No
357;Simmons;850;Spain;Female;57;8;126776,3;2;1;1;132298,49;No
358;Ricci;522;Spain;Male;34;9;126436,29;1;1;0;174248,52;Yes
359;Yen;737;France;Male;41;1;101960,74;1;1;1;123547,28;No
360;Campbell;520;France;Male;58;3;0;2;0;1;32790,02;No
361;West;706;Spain;Male;28;3;0;2;0;1;181543,67;No
362;Robinson;643;Germany;Female;45;2;150842,93;1;0;1;2319,96;Yes
363;Bianchi;648;France;Female;50;9;102535,57;1;1;1;189543,19;No
364;Chen;443;Germany;Female;29;9;99027,61;2;1;0;10940,4;No
365;Madukaego;640;France;Male;68;9;0;2;1;1;199493,38;No
366;Ibrahimova;628;Spain;Female;33;3;0;1;1;1;188193,25;No
367;Nolan;540;Germany;Female;42;9;87271,41;2;1;0;172572,64;No
368;Scott;460;Germany;Female;35;8;102742,91;2;1;1;189339,6;No
369;Blair;636;Germany;Male;34;2;40105,51;2;0;1;53512,16;No
370;Monaldo;593;France;Female;29;2;152265,43;1;1;0;34004,44;No
371;Sutherland;801;Spain;Male;42;4;141947,67;1;1;1;10598,29;No
372;Cole;640;Germany;Female;75;1;106307,91;2;0;1;113428,77;No
373;Briggs;611;Germany;Male;31;0;107884,81;2;1;1;183487,98;No
374;Gregory;802;Germany;Male;31;1;125013,72;1;1;1;187658,09;No
375;Bianchi;717;Germany;Male;35;7;58469,37;2;1;1;172459,39;No
376;Angelo;769;France;Female;39;8;0;1;0;1;21016;No
377;Gardiner;745;Germany;Male;45;10;117231,63;3;1;1;122381,02;Yes
378;Kerr;572;Spain;Male;35;4;152390,26;1;1;0;128123,66;No
379;Ko;;Spain;Female;30;2;34013,63;1;1;0;19570,63;No
